Event Date,Hours Absent,Function Category
2021-11-23,8,SI - STD Pay @ 100%
2021-11-24,8,SIE - STD Pay @ 100% Incident End
2021-02-26,6.75,SIE - STD Pay @ 100% Incident End
2021-06-24,6.75,SIE - STD Pay @ 100% Incident End
2021-12-15,6.75,SI - STD Pay @ 100%
2021-12-16,6.75,SI - STD Pay @ 100%
2021-12-17,6.75,SIE - STD Pay @ 100% Incident End
2021-08-27,7.5,SIE - STD Pay @ 100% Incident End
2021-07-20,10,SIE - STD Pay @ 100% Incident End
2021-01-15,10,SI - STD Pay @ 100%
2021-01-16,10,SI - STD Pay @ 100%
2021-01-17,14,SI - STD Pay @ 100%
2021-01-18,14,SIE - STD Pay @ 100% Incident End
2021-06-27,14,SI - STD Pay @ 100%
2021-07-04,10,SI - STD Pay @ 100%
2021-07-05,10,SIE - STD Pay @ 100% Incident End
2021-11-25,10,SI - STD Pay @ 100%
2021-11-26,10,SI - STD Pay @ 100%
2021-11-27,14,SI - STD Pay @ 100%
2021-11-28,14,SIE - STD Pay @ 100% Incident End
2021-01-14,8,SI - STD Pay @ 100%
2021-01-15,8,SI - STD Pay @ 100%
2021-01-18,8,SI - STD Pay @ 100%
2021-01-19,8,SI - STD Pay @ 100%
2021-01-20,8,SI - STD Pay @ 100%
2021-01-21,8,SI - STD Pay @ 100%
2021-01-22,8,SI - STD Pay @ 100%
2021-01-25,8,SI - STD Pay @ 100%
2021-01-26,8,SI - STD Pay @ 100%
2021-01-27,8,SI - STD Pay @ 100%
2021-01-28,8,SI - STD Pay @ 100%
2021-01-29,8,SI - STD Pay @ 100%
2021-02-01,8,SI - STD Pay @ 100%
2021-02-02,8,SI - STD Pay @ 100%
2021-02-03,8,SI - STD Pay @ 100%
2021-02-04,8,SI - STD Pay @ 100%
2021-02-05,8,SI - STD Pay @ 100%
2021-02-08,8,SI - STD Pay @ 100%
2021-02-09,8,SI - STD Pay @ 100%
2021-02-10,8,SI - STD Pay @ 100%
2021-02-11,8,SI - STD Pay @ 100%
2021-02-12,8,SIE - STD Pay @ 100% Incident End
2021-02-12,1,SI - STD Pay @ 100%
2021-08-18,8,SIE - STD Pay @ 100% Incident End
2021-10-30,4.4,SIE - STD Pay @ 100% Incident End
2021-12-07,8,SIE - STD Pay @ 100% Incident End
2021-07-14,10,S9E - STD Pay @ 90% Incident End
2021-09-13,8,S9 - STD Pay @ 90%
2021-09-14,8,S9 - STD Pay @ 90%
2021-09-15,8,S9 - STD Pay @ 90%
2021-09-16,8,S9 - STD Pay @ 90%
2021-09-17,8,S9E - STD Pay @ 90% Incident End
2021-11-08,10,S9E - STD Pay @ 90% Incident End
2021-11-29,8,S9 - STD Pay @ 90%
2021-11-30,8,S9 - STD Pay @ 90%
2021-12-01,8,S9 - STD Pay @ 90%
2021-12-02,8,S9 - STD Pay @ 90%
2021-12-03,8,S9E - STD Pay @ 90% Incident End
2021-10-29,10,SI - STD Pay @ 100%
2021-10-30,10,SIE - STD Pay @ 100% Incident End
2021-03-29,10,SI - STD Pay @ 100%
2021-03-30,14,SI - STD Pay @ 100%
2021-03-31,14,SIE - STD Pay @ 100% Incident End
2021-03-04,10,SI - STD Pay @ 100%
2021-03-05,10,SI - STD Pay @ 100%
2021-03-06,10,SIE - STD Pay @ 100% Incident End
2021-02-16,8,SI - STD Pay @ 100%
2021-02-17,8,SI - STD Pay @ 100%
2021-02-18,8,SI - STD Pay @ 100%
2021-02-19,8,SIE - STD Pay @ 100% Incident End
2021-02-26,10,SI - STD Pay @ 100%
2021-02-27,10,SI - STD Pay @ 100%
2021-02-28,14,SI - STD Pay @ 100%
2021-03-01,14,SIE - STD Pay @ 100% Incident End
2021-09-12,10,SI - STD Pay @ 100%
2021-09-13,10,SI - STD Pay @ 100%
2021-09-14,14,SI - STD Pay @ 100%
2021-09-15,14,SIE - STD Pay @ 100% Incident End
2021-02-20,14,SI - STD Pay @ 100%
2021-02-21,14,SI - STD Pay @ 100%
2021-02-24,10,SI - STD Pay @ 100%
2021-02-25,10,SIE - STD Pay @ 100% Incident End
2021-04-29,10,SI - STD Pay @ 100%
2021-04-30,10,SI - STD Pay @ 100%
2021-05-01,14,SI - STD Pay @ 100%
2021-05-02,14,SIE - STD Pay @ 100% Incident End
2021-06-10,10,SI - STD Pay @ 100%
2021-06-11,10,SI - STD Pay @ 100%
2021-06-12,14,SI - STD Pay @ 100%
2021-06-13,14,SIE - STD Pay @ 100% Incident End
2021-10-02,14,S7 - STD Pay @75%
2021-10-03,14,S7 - STD Pay @75%
2021-10-06,10,S7 - STD Pay @75%
2021-10-07,10,S7E - STD Pay @ 75% Incident End
2021-10-18,14,S7 - STD Pay @75%
2021-10-19,14,S7 - STD Pay @75%
2021-10-22,10,S7 - STD Pay @75%
2021-10-23,10,S7 - STD Pay @75%
2021-10-24,14,S7 - STD Pay @75%
2021-10-25,14,S7 - STD Pay @75%
2021-11-01,10,S7 - STD Pay @75%
2021-11-02,10,S7 - STD Pay @75%
2021-11-03,14,S7 - STD Pay @75%
2021-11-04,14,S7 - STD Pay @75%
2021-11-07,10,S7 - STD Pay @75%
2021-11-08,10,S7 - STD Pay @75%
2021-11-09,14,S7 - STD Pay @75%
2021-11-10,14,S7 - STD Pay @75%
2021-11-17,10,S7 - STD Pay @75%
2021-11-18,10,S7 - STD Pay @75%
2021-11-19,14,S7 - STD Pay @75%
2021-11-20,14,S7 - STD Pay @75%
2021-11-23,10,S7 - STD Pay @75%
2021-11-24,10,S7 - STD Pay @75%
2021-11-25,14,S7 - STD Pay @75%
2021-11-26,14,S7 - STD Pay @75%
2021-12-03,10,S7 - STD Pay @75%
2021-12-04,10,S7 - STD Pay @75%
2021-12-05,14,S7 - STD Pay @75%
2021-12-06,14,S7 - STD Pay @75%
2021-12-09,10,S7 - STD Pay @75%
2021-12-10,10,S7 - STD Pay @75%
2021-12-11,14,S7 - STD Pay @75%
2021-12-12,14,S7 - STD Pay @75%
2021-12-19,10,S7 - STD Pay @75%
2021-12-20,10,S7 - STD Pay @75%
2021-12-21,14,S7 - STD Pay @75%
2021-12-22,14,S7 - STD Pay @75%
2021-12-25,10,S7 - STD Pay @75%
